tbl_poc_cmf_activosbanco1_mes.instituciones,tbl_poc_cmf_activosbanco1_mes.producto,tbl_poc_cmf_activosbanco1_mes.monto,tbl_poc_cmf_activosbanco1_mes.mdm_fhnew,tbl_poc_cmf_activosbanco1_mes.mdm_processnew,tbl_poc_cmf_activosbanco1_mes.mdm_hash,tbl_poc_cmf_activosbanco1_mes.periodo_mes
Banco Bice,Colocaciones (1),6065313.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,92afcf430ba6520fecd6aaf8c13d3d640d89bd9fca4385214103c83cec1c2924,2019-09-01
Banco BTG Pactual Chile,Colocaciones (1),872978.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,b17879006fe9862d5a15a5d9be03601bb5730f196cda2d83925956df4aec0905,2019-09-01
Banco Consorcio,Colocaciones (1),3197200.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,14e6b0b91640a0b8c75b4dc92b3f9966d5064d983610e8863cfe076f700adcb7,2019-09-01
Banco de Chile,Colocaciones (1),30099012.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,ac8911ec3b4e9c2d59bd344ab751f7a7900347fbe57d793450d4c81c70af1fc2,2019-09-01
Banco de Cr�dito e Inversiones,Colocaciones (1),32744315.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,e34e11762ade49f45c704280cd153bc792e926d01dad3df24b96bdb3fbdf319f,2019-09-01
Banco del Estado de Chile,Colocaciones (1),25839574.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,34a91dfd0a03636c336013328e98353dad061717932bbe670ed898611d0f21e4,2019-09-01
Banco do Brasil S.A.,Colocaciones (1),46109.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,5ab02de114f7994138bf935aa7c4d87cc635a7a8300e1d18cbc6bb678f402027,2019-09-01
Banco Falabella,Colocaciones (1),3774187.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,616045ab086a9698aa459f851befa56373126d9fb6b53ef1d518393e0ea1e974,2019-09-01
Banco Internacional,Colocaciones (1),1982368.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,62be035bf512aff73b16c58b7fa9c28620d026cf4fb481a07f33a3c373dff674,2019-09-01
Banco Ripley,Colocaciones (1),893402.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,06802778bd2606da2c1e4bdaff2be9460f250b90db9c111e95bfc1c2ae0d54c2,2019-09-01
Banco Santander-Chile,Colocaciones (1),31905207.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,0f842541597f28e91fcedc52de715b47cdc0f1c77a9ee88b1efa44853091604c,2019-09-01
Banco Security,Colocaciones (1),5822872.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,e5879ebb35479752a05d1d6695574fd6f2c0a50c4b52129670f09f22b5de3bac,2019-09-01
"Bank of China, Agencia en Chile",Colocaciones (1),0.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,c8942abcfe62070286db4144658e91a1a523b7ebfecda039e98c998fc62623c7,2019-09-01
"China Construction Bank, Agencia en Chile",Colocaciones (1),172592.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,397ef50c12b4e8d4320cb9f2ab02e89355d3c6d67041dcae6695168a1648f6d7,2019-09-01
HSBC Bank (Chile),Colocaciones (1),247318.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,b08ef58d618dac98babd30f26d30c30a7b4a2a4b7a30272acea334b2bbf8cc4c,2019-09-01
Ita� Corpbanca,Colocaciones (1),22594958.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,52e120a55a6d50b8fbcef5568829a9627d259a544701beba5da409d581b3cecf,2019-09-01
"JP Morgan Chase Bank, N.A.",Colocaciones (1),0.0,2020-12-14 18:21:39.186,com_soluciones_poc_cmf_process_activosbanco1_mes,019bf6c234b8e76fd740fddb894facf34d9a230af0d98b79d677ead76565744d,2019-09-01
